Date,Address,Location,Area,ExtraArea,TotalArea,Rooms,LandArea,Price
2013-04-08,Jorsalagatan 5,"Iskällan, Kungälvs kommun",185,36,221,6,860,4100000
2013-03-21,Egnahemsgatan 10,"Centralt, Kungälvs kommun",65,65,130,3,446,2825000
2013-03-08,Bokstigen 4,"Centralt, Kungälvs kommun",140,50,190,5,1661,3330000
2020-03-30,Lyckan 2,"Komarken, Kungälvs kommun",111,60,171,7,861,3630000
2020-03-27,Löstorp 160,"Kareby, Kungälvs kommun",62,24,86,3,1282,2850000
2020-03-23,Rishammarvägen 11,"Kareby, Kungälvs kommun",115,28,143,6,2862,5525000
2020-03-11,Alvägen 1,"Diseröd, Kungälvs kommun",126,43,169,6,668,3795000
2020-03-09,Byvägen 50,"Ödsmålsmosse, Kungälvs kommun",163,52,215,5,1275,4400000
2020-03-06,Skårsäng 25,"Kärna, Kungälvs kommun",147,9,156,6,547,4650000
2020-03-05,Häljeröd 380,"Diseröd, Kungälvs kommun",140,190,330,7,3521,4425000
2020-03-03,Tjuvkil 140,"Tjuvkil, Kungälvs kommun",80,12,92,3,2819,2900000
2020-03-02,Fontinvägen 32,"Kungälv Centralt, Kungälvs kommun",160,50,210,7,811,6300000
2020-03-02,Duvesjön 327,"Kungälv -Duvesjön, Kungälvs kommun",103,24,127,4,1320,3900000
2020-02-27,Ivar Claessons gata 8,"Kungälv, Kungälvs kommun",121,30,151,6,1103,5500000
2020-02-26,Storskiftegatan 71,"Övre Tega, Kungälvs kommun",129,28,157,5,798,5600000
2020-02-26,Krappvägen 556,"Bohuslän, Kungälvs kommun",174,40,214,6,783,7925000
2020-02-21,Brunnefjällsvägen 26,"Kärna, Kungälvs kommun",79,5,84,3,1157,2360000
2020-02-19,Reidarsgatan 3,"Centralt vid älven, Kungälvs kommun",150,28,178,5,686,5350000
2020-02-19,Lefstadvägen 27,"Kärna, Kungälvs kommun",113,21,134,3,1351,4090000
2020-02-07,Rishammar 110,"Kareby, Kungälvs kommun",140,19,159,6,1205,4135000
2020-02-03,Mariebergsvägen 150,"Kungälv, Kungälvs kommun",173,86,259,8,4083,4250000
2020-02-02,Åsebyberg 940,"Kode, Kungälvs kommun",138,30,168,5,57649,4400000
2020-01-30,Jägarvägen 5,"Diseröd, Kungälvs kommun",168,8,176,7,550,3795000
2020-01-28,Staby 780,"Kärna, Kungälvs kommun",108,50,158,4,2026,3050000
2020-01-28,Toreby mosse 600,"Harestad och Kärna, Kungälvs kommun",104,16,120,4,1622,3900000
2020-01-28,Hemvägen 19,"Romelanda, Kungälvs kommun",119,19,138,5,381,2900000
2020-01-22,Gårdskiftegatan 72,"Ytterby, Kungälvs kommun",105,109,214,6,856,5050000
2020-01-21,Duvesjön 201,"Bohuslän, Kungälvs kommun",38,9,47,2,1390,1880000
2023-10-09,Skårby station 350,"Kareby, Kungälvs kommun",143,25,168,7,2303,3005000
2023-10-05,Högalidsgatan 3,"Centrum, Kungälvs kommun",103,103,206,5,862,3800000
2023-10-03,Kungälvsvägen 22,"Centralt, Kungälvs kommun",77,46,123,5,1548,4500000
2023-09-22,Heavägen 31,"Lycke, Kungälvs kommun",165,30,195,6,1553,5450000
2023-09-17,Kornhall 290,"Kornhall, Kungälvs kommun",134,7,141,5,1706,6100000
2023-09-13,Kristiansborg 300,"Bohuslän, Kungälvs kommun",215,115,330,5,3121,5350000
2023-09-07,Glöskär 255,"Kärna, Kungälvs kommun",111,22,133,4,2062,3520000
2023-08-29,Västra Röd 165,"Kärna, Kungälvs kommun",151,20,171,5,2263,5995000
2023-08-24,Snorregatan 3B,"Komarken, Kungälvs kommun",120,3,123,5,342,4225000
2023-08-23,Jägarvägen 13,"Romelanda, Kungälvs kommun",162,14,176,5,569,3900000
2023-08-16,Stora Lycke 400,"Bohuslän, Kungälvs kommun",111,5,116,5,761,3650000
2023-08-15,Dösebacka 410,"Romelanda, Kungälvs kommun",38,11,49,3,5960,2300000
2023-08-09,Mantalsgatan 9,"Tega, Kungälvs kommun",175,35,210,7,1105,4725000
2023-08-08,Skälebräckeliden 9,"Centrum, Kungälvs kommun",113,85,198,4,1608,6275000
2023-07-17,Duvesjön 228,"Romelanda, Kungälvs kommun",121,37,158,5,1150,4195000
2023-07-17,Klintegatan 22,"Centralt, Kungälvs kommun",119,55,174,5,999,6500000
2023-07-13,Galärgatan 2,"Kungälv Centrum, Kungälvs kommun",103,60,163,5,749,4300000
2023-07-13,Ulvebackegatan 3,"Munkegärde, Kungälvs kommun",129,44,173,5,927,4850000
2023-07-11,Vråstigen 4,"Överön, Kungälvs kommun",81,57,138,4,2619,3775000
2023-07-06,Kastellegårdsgatan 29,"Komarken, Kungälvs kommun",122,16,138,4,1033,5200000
2023-07-04,Sparråsvägen 140,"Kungälv - Ytterby, Kungälvs kommun",137,19,156,4,961,3850000
2023-07-04,Dammen 160,"Kärna, Kungälvs kommun",174,25,199,5,3234,3450000
2023-07-03,Tulpanvägen 15,"Kärna, Kungälvs kommun",105,140,245,4,914,3900000
2023-06-30,Gårdskiftegatan 5,"Ytterby, Kungälvs kommun",164,36,200,5,806,5250000
